IDDOCUMENTO;PRIMOIDENTIFICATIVO;ULTIMOIDENTIFICATIVO;DATASCADENZAAFFITTO;SUPERFICIEUBA;CUAATERZOSOGGETTO;STATO
APPAG.TT.2016.107TN002.017;7300864;;;;;
APPAG.TT.2016.107TN002.017;7300865;;;;;
APPAG.TT.2016.107TN002.017;7300866;;;;;
APPAG.TT.2016.107TN002.017;7300867;;;;;
APPAG.TT.2016.107TN002.017;7300868;;;;;
APPAG.TT.2016.107TN002.017;7300869;;;;;
APPAG.TT.2016.107TN002.017;7300870;;;;;
APPAG.TT.2016.105TN001.005;8943841;;20171110;;;
APPAG.TT.2016.105TN001.005;8943842;;20171110;;;
APPAG.TT.2016.105TN001.005;8943843;;20171110;;;
APPAG.TT.2016.105TN001.005;8943844;;20171110;;;
APPAG.TT.2016.105TN001.005;8943845;;20171110;;;
APPAG.TT.2016.105TN001.005;8943846;;20171110;;;
APPAG.TT.2016.105TN001.005;8943847;;20171110;0000,28;;
APPAG.TT.2016.181TN006.004;10549792;;;;;
APPAG.TT.2016.181TN006.004;10549793;;;;;
APPAG.TT.2016.181TN006.004;10549794;;;;;
APPAG.TT.2016.181TN006.004;10549795;;;;;
APPAG.TT.2016.181TN006.004;10549796;;;;;
APPAG.TT.2016.181TN006.004;10549797;;;;;
APPAG.TT.2016.181TN006.004;10549798;;;;;
APPAG.TT.2016.181TN006.004;10549799;;;;;
APPAG.TT.2016.181TN006.004;10549800;;;;;
APPAG.TT.2016.181TN006.004;10549801;;;;;
APPAG.TT.2016.181TN006.004;10549802;;;;;
APPAG.TT.2016.181TN006.004;10549803;;;;;
APPAG.TT.2016.181TN006.004;10549804;;;;;
APPAG.TT.2016.181TN006.004;10549805;;;;;
APPAG.TT.2016.181TN006.004;10549806;;;;;
APPAG.TT.2016.181TN006.004;10549807;;;;;
APPAG.TT.2016.181TN006.004;10549808;;;;;
APPAG.TT.2016.181TN006.004;10549809;;;;;
APPAG.TT.2016.181TN006.004;10549810;;;;;
APPAG.TT.2016.181TN006.004;10549811;;;;;
APPAG.TT.2016.181TN006.004;10549812;;;;;
APPAG.TT.2016.105TN003.003;5857546;;;;;
APPAG.TT.2016.105TN003.003;5857547;;;;;
APPAG.TT.2016.105TN003.003;5857548;;;;;
APPAG.TT.2016.105TN003.003;5857549;;;;;
APPAG.TT.2016.105TN003.003;5857550;;;;;
APPAG.TT.2016.105TN003.003;5857551;;;;;
APPAG.TT.2016.105TN003.003;5857552;;;;;
APPAG.TT.2016.105TN003.003;5857553;;;;;
APPAG.TT.2016.105TN003.003;5857554;;;;;
APPAG.TT.2016.105TN003.003;5857555;;;;;
APPAG.TT.2016.105TN003.003;5857556;;;;;
APPAG.TT.2016.105TN003.003;5857557;;;;;
APPAG.TT.2016.105TN003.003;5857558;;;;;
APPAG.TT.2016.105TN003.003;5857559;;;;;
APPAG.TT.2016.105TN003.003;5857560;;;;;
APPAG.TT.2016.105TN003.003;5857561;;;;;
APPAG.TT.2016.105TN003.003;5857562;;;;;
APPAG.TT.2016.105TN003.003;5857563;;;;;
APPAG.TT.2016.105TN003.003;5857564;;;;;
APPAG.TT.2016.105TN003.003;5857565;;;;;
APPAG.TT.2016.105TN003.003;5857566;;;;;
APPAG.TT.2016.105TN003.003;5857567;;;;;
APPAG.TT.2016.105TN003.003;5857568;;;;;
APPAG.TT.2016.105TN003.003;5857569;;;;;
APPAG.TT.2016.105TN003.003;5857570;;;;;
APPAG.TT.2016.105TN003.003;5857571;;;;;
APPAG.TT.2016.105TN003.003;5857572;;;;;
APPAG.TT.2016.105TN003.003;5857573;;;;;
APPAG.TT.2016.105TN003.003;5857574;;;;;
APPAG.TT.2016.105TN003.003;5857575;;;;;
APPAG.TT.2016.105TN003.003;5857576;;;;;
APPAG.TT.2016.105TN003.003;5857577;;;;;
APPAG.TT.2016.105TN003.003;5857578;;;;;
APPAG.TT.2016.105TN003.003;5857579;;;;;
APPAG.TT.2016.105TN003.003;5857580;;;;;
APPAG.TT.2016.105TN003.003;5857581;;;;;
APPAG.TT.2016.105TN003.003;5857582;;;;;
APPAG.TT.2016.105TN003.003;5857583;;;;;
APPAG.TT.2016.105TN003.003;5857584;;;;;
APPAG.TT.2016.105TN003.003;5857585;;;;;
APPAG.TT.2016.105TN003.003;5857586;;;;;
APPAG.TT.2016.105TN003.003;5857587;;;;;
APPAG.TT.2016.105TN003.003;5857588;;;;;
APPAG.TT.2016.105TN003.003;5857589;;;;;
APPAG.TT.2016.105TN003.003;5857590;;;;;
APPAG.TT.2016.105TN003.003;5857591;;;;;
APPAG.TT.2016.105TN003.003;5857592;;;;;
APPAG.TT.2016.105TN003.003;5857593;;;;;
APPAG.TT.2016.105TN003.003;5857594;;;;;
APPAG.TT.2016.105TN003.003;5857595;;;;;
APPAG.TT.2016.105TN003.003;5857596;;;;;
